number	audit	status	name	source	line
95	AUE_WAIT6	STD	linux_waitid	sys/arm64/linux/syscalls.master	600
96	AUE_NULL	STD	linux_set_tid_address	sys/arm64/linux/syscalls.master	609
97	AUE_NULL	STD	linux_unshare	sys/arm64/linux/syscalls.master	614
98	AUE_NULL	STD	linux_sys_futex	sys/arm64/linux/syscalls.master	617
99	AUE_NULL	STD	linux_set_robust_list	sys/arm64/linux/syscalls.master	627
100	AUE_NULL	STD	linux_get_robust_list	sys/arm64/linux/syscalls.master	633
101	AUE_NULL	STD	linux_nanosleep	sys/arm64/linux/syscalls.master	640
102	AUE_GETITIMER	STD	linux_getitimer	sys/arm64/linux/syscalls.master	646
103	AUE_SETITIMER	STD	linux_setitimer	sys/arm64/linux/syscalls.master	652
104	AUE_NULL	STD	linux_kexec_load	sys/arm64/linux/syscalls.master	659
105	AUE_NULL	STD	linux_init_module	sys/arm64/linux/syscalls.master	662
106	AUE_NULL	STD	linux_delete_module	sys/arm64/linux/syscalls.master	665
107	AUE_NULL	STD	linux_timer_create	sys/arm64/linux/syscalls.master	668
108	AUE_NULL	STD	linux_timer_gettime	sys/arm64/linux/syscalls.master	675
109	AUE_NULL	STD	linux_timer_getoverrun	sys/arm64/linux/syscalls.master	681
